Time stamp,L1,V,F2,F1,Pump flow 1.1,Pump flow 1.2,Pump flow 1.3,Pump flow 1.4,Pump flow 2.1,Pump flow 2.2,Pump flow 2.3,Pump flow 2.4,Pump efficiency 1.1,Pump efficiency 1.2,Pump efficiency 1.3,Pump efficiency 1.4,Pump efficiency 2.1,Pump efficiency 2.2,Pump efficiency 2.3,Pump efficiency 2.4,Pump frequency 1.1,Pump frequency 1.2,Pump frequency 1.3,Pump frequency 1.4,Pump frequency 2.1,Pump frequency 2.2,Pump frequency 2.3,Pump frequency 2.4,Price_High,Price_Normal
2024-11-15 00:00:00,2.37150502204895,10064.9892578125,4515.6396484375,1454.5311279296875,1497.2615966796875,0.0,0,3020.36376953125,0.0,0.0,0.0,0.0,189.9127655029297,0.0,0,400.2510986328125,0.0,0.0,0.0,0.0,49.661624908447266,0.0,0,49.61832046508789,0.0,0.0,0.0,0.0,3.383,0.291
2024-11-15 00:15:00,2.4035890102386475,10391.0849609375,4513.74169921875,1454.5311279296875,1499.3968505859375,0.0,0,3014.813232421875,0.0,0.0,0.0,0.0,190.2216033935547,0.0,0,399.4494323730469,0.0,0.0,0.0,0.0,49.66287612915039,0.0,0,49.61894226074219,0.0,0.0,0.0,0.0,3.383,0.291
2024-11-15 00:30:00,2.433434247970581,10683.6640625,4541.76611328125,1428.0206298828125,1510.5963134765625,0.0,0,3034.408203125,0.0,0.0,0.0,0.0,190.7880096435547,0.0,0,399.1644287109375,0.0,0.0,0.0,0.0,49.664127349853516,0.0,0,49.61956787109375,0.0,0.0,0.0,0.0,3.383,0.291
2024-11-15 00:45:00,2.459946393966675,10955.44921875,4537.18212890625,1406.0806884765625,1507.5731201171875,0.0,0,3024.766845703125,0.0,0.0,0.0,0.0,190.77369689941406,0.0,0,400.1988830566406,0.0,0.0,0.0,0.0,49.66475296020508,0.0,0,49.619293212890625,0.0,0.0,0.0,0.0,3.383,0.291
2024-11-15 01:00:00,2.4818835258483887,11182.19921875,4569.5703125,1369.142578125,1525.158447265625,0.0,0,3046.157958984375,0.0,0.0,0.0,0.0,191.433837890625,0.0,0,400.6650085449219,0.0,0.0,0.0,0.0,49.664093017578125,0.0,0,49.617225646972656,0.0,0.0,0.00020675829728133976,0.0,2.869,0.321
2024-11-15 01:15:00,2.4998466968536377,11369.9013671875,4564.400390625,1328.80224609375,1517.9681396484375,0.0,0,3044.54296875,0.0,0.0,0.0,0.0,191.18296813964844,0.0,0,400.1722106933594,0.0,0.0,0.0,0.0,49.66339874267578,0.0,0,49.615108489990234,0.0,0.0,0.002139175310730934,0.0,2.869,0.321
2024-11-15 01:30:00,2.5134294033050537,11510.8232421875,4443.82470703125,1251.8780517578125,1224.9664306640625,0.0,0,2260.25390625,0.0,528.5968017578125,431.87530517578125,0.0,151.71278381347656,0.0,0,295.56610107421875,0.0,57.744998931884766,70.43055725097656,0.0,39.54536819458008,0.0,0,36.658695220947266,0.0,8.93142032623291,12.400952339172363,0.0,2.869,0.321
2024-11-15 01:45:00,2.5120832920074463,11480.0869140625,5138.55322265625,1253.9019775390625,0.0,0.0,0,0.0,0.0,3159.286376953125,1978.2890625,0.0,0.0,0.0,0,0.0,0.0,320.44647216796875,286.9705505371094,0.0,0.0,0.0,0,0.0,0.0,47.34583282470703,47.319862365722656,0.0,2.869,0.321
2024-11-15 02:00:00,2.503330945968628,11388.3466796875,5253.7099609375,1221.687255859375,0.0,0.0,0,0.0,0.0,3163.997802734375,2091.43212890625,0.0,0.0,0.0,0,0.0,0.0,321.770751953125,298.4655456542969,0.0,0.0,0.0,0,0.0,0.0,47.352081298828125,47.33536911010742,0.0,3.688,0.297
2024-11-15 02:15:00,2.4880082607269287,11245.9072265625,5220.22900390625,1162.6177978515625,0.0,0.0,0,0.0,0.0,3168.566650390625,2054.0185546875,0.0,0.0,0.0,0,0.0,0.0,322.50054931640625,294.0516662597656,0.0,0.0,0.0,0,0.0,0.0,47.358333587646484,47.337223052978516,0.0,3.688,0.297
2024-11-15 02:30:00,2.4666991233825684,11026.3115234375,5193.2802734375,1078.724365234375,0.0,0.0,0,0.0,0.0,3163.876220703125,2028.53125,0.0,0.0,0.0,0,0.0,0.0,322.2158203125,290.36798095703125,0.0,0.0,0.0,0,0.0,0.0,47.36457824707031,47.33409881591797,0.0,3.688,0.297
2024-11-15 02:45:00,2.4403226375579834,10752.720703125,5232.42724609375,1034.5159912109375,0.0,0.0,0,0.0,0.0,3165.572509765625,2066.263916015625,0.0,0.0,0.0,0,0.0,0.0,322.4869384765625,296.01702880859375,0.0,0.0,0.0,0,0.0,0.0,47.3668327331543,47.330970764160156,0.0,3.688,0.297
